account_id,account_description,account_fax,account_name,account_number,account_phone,account_rating,account_type,active,annual_revenue,billing_address,billing_city,billing_country,billing_state,billing_street,billing_zip,clean_status,created_date,customer_priority,deleted,employees,industry,number_of_locations,parent_account_id,upsell_opportunity
0015h000013m9LQAAY,,(785) 241-6201,Dickenson plc,CC634267,(785) 241-6200,Warm,Customer - Channel,Yes,50000,"[country:USA, city:Lawrence, countryCode:null, street:1301 Hoch Drive, latitude:null, postalCode:66045, geocodeAccuracy:null, stateCode:null, state:KS, longitude:null]",Lawrence,USA,KS,1301 Hoch Drive,66045,Pending,11/04/2022T02:42:50.000Z,Low,false,120,Consulting,2,,No
0015h000013m9LUAAY,"Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",(520) 773-9060,University of Arizona,CD736025,(520) 773-9050,Warm,Customer - Direct,Yes,10000,"[country:USA, city:Tucson, countryCode:null, street:888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:AZ, longitude:null]",Tucson,USA,AZ,"888 N Euclid Hallis Center, Room 501 Tucson, AZ 85721",85721,Pending,11/04/2022T02:42:50.000Z,Medium,false,39000,Education,3,,Yes
0015h000013m9LRAAY,"Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",(312) 596-1500,Grand Hotels & Resorts Ltd,CD439877,(312) 596-1000,Warm,Customer - Direct,Yes,500000,"[country:United States, city:Chicago, countryCode:null, street:2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:IL, longitude:null]",Chicago,United States,IL,"N. Michigan Avenue, Suite Chicago, IL 60601",60601,Pending,11/04/2022T02:42:50.000Z,High,false,5600,Hospitality,57,,Yes
0015h000013m9LNAAY,"Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",(512) 757-9000,Edge Communications,CD451796,(512) 757-6000,Hot,Customer - Direct,Yes,13900000,"[country:United States, city:Austin, countryCode:null, street:312 Constitution Place
Austin, TX 78767
USA, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:TX, longitude:null]",Austin,United States,TX,"312 Constitution Place Austin, TX, USA 78767",78767,Pending,11/04/2022T02:42:50.000Z,Medium,false,1000,Electronics,2,,Maybe
0015h000016sA0tAAE,"Leading builders of high quality homes , based out of Florida",,Lenarr,CO35629672,,Warm,Installation Partner,Yes,22500000,"[country:US, city:Miami, countryCode:null, street:Miami, FL, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:FL, longitude:null]",Miami,US,FL,"Miami, FL, 78908",78908,Pending,11/20/2022T20:52:33.000Z,High,false,9100,Construction,7,,Yes
0015h000016qfFzAAI,,,Sync finances,,18582144125,Warm,Prospect,Yes,456000,"[country:US, city:Long beach, countryCode:null, street:198, park street,Long beach ,California, latitude:null, postalCode:92092, geocodeAccuracy:null, stateCode:null, state:California, longitude:null]",Long beach,US,California,"198, park street,Long beach ,California, 92092 ",92092,Pending,11/20/2022T03:37:14.000Z,Low,false,3080,Banking,6,,Yes
0015h000016sA9LAAU,,,Veritas,KH6302873,4802144826,Warm,Customer - Channel,Yes,1150000,"[country:US, city:Encinitas, countryCode:null, street:Encinitas,CA, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:CA, longitude:null]",Encinitas,US,CA,"Encinitas, CA, 78934",78934,Pending,11/20/2022T21:13:52.000Z,Medium,false,15000,Apparel,2,,Maybe
0015h000013m9LOAAY,,(336) 222-8000,Burlington Textiles Corp of America,CD656092,(336) 222-7000,Warm,Customer - Direct,Yes,3500000,"[country:USA, city:Burlington, countryCode:null, street:525 S. Lexington Ave, latitude:null, postalCode:27215, geocodeAccuracy:null, stateCode:null, state:NC, longitude:null]",Burlington,USA,NC,"525 S. Lexington Ave, 27215",27215,Pending,11/04/2022T02:42:50.000Z,Medium,false,9000,Apparel,6,,Maybe
0015h000016qpDDAAY,"Packaging business, headquartered in London ,Uk.",,DS Smith,,,Hot,Customer - Direct,Yes,7200000,"[country:UK, city:London, countryCode:null, street:370, Endina  street,London ,UK, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:London, longitude:null]",London,UK,London,"Endina  street,London ,UK, 10002",10002,Pending,11/20/2022T06:43:07.000Z,Low,false,30000,Food & Beverage,8,,Maybe
0015h000016sA7aAAE,,,Vector farms,AG73039374,,Hot,Prospect,Yes,440000,"[country:US, city:Miami, countryCode:null, street:Miami , FL, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:FL, longitude:null]",Miami,US,FL,"Miami , FL, 85721",85721,Pending,11/20/2022T21:02:59.000Z,Low,false,2700,Agriculture,5,,Maybe
0015h000013m9LTAAY,Commerical logistics and transportation company.,(503) 421-7801,Express Logistics and Transport,CC947211,(503) 421-7800,Cold,Customer - Channel,Yes,950000,"[country:United States, city:Portland, countryCode:null, street:620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:OR, longitude:null]",Portland,United States,OR,"C Avenue Suite Portland, Oregon, USA 97205",97205,Pending,11/04/2022T02:42:50.000Z,Medium,false,12300,Transportation,150,,Maybe
0015h000013m9LWAAY,"Singapore branch of the largest companies in the world across all industries, as well as the largest global oil company by revenue",(650) 450-8820,"United Oil & Gas, Singapore",CD355120-B,(650) 450-8810,Warm,Customer - Direct,Yes,30000,"[country:Singapore, city:Singapore, countryCode:null, street:9 Tagore Lane
Singapore, Singapore 787472
Singapore, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:Singapore, longitude:null]",Singapore,Singapore,Singapore,"9 Tagore Lane Singapore, Singapore 78747",78747,Pending,11/04/2022T02:42:50.000Z,High,false,3000,Energy,6,0015h000016qeZ6AAI,Maybe
0015h000013m9LYAAY,,(415) 901-7002,sForce,,(415) 901-7000,Hot,Installation Partner,Yes,400000,"[country:US, city:San Francisco, countryCode:null, street:The Landmark @ One Market, latitude:null, postalCode:94087, geocodeAccuracy:null, stateCode:null, state:CA, longitude:null]",San Francisco,US,CA,"The Landmark @ One Market, 94087",94087,Pending,11/04/2022T02:42:50.000Z,High,false,5000,Technology,60,,Maybe
0015h000016qfsAAAQ,,,Drivenow,CS718208,,Hot,Other,Yes,6000000,"[country:US, city:La Jolla, countryCode:null, street:4720, 4067 Miramar Street La Jolla CA, latitude:null, postalCode:92092, geocodeAccuracy:null, stateCode:null, state:California, longitude:null]",La Jolla,US,California,"Miramar Street La Jolla CA, 92092",92092,Pending,11/20/2022T03:53:38.000Z,High,false,110,Engineering,12,,Maybe
0015h000013m9LVAAY,"UK branch of the largest companies in the world across all industries, as well as the largest global oil company by revenue",+44 191 4956620,"United Oil & Gas, UK",CD355119-A,+44 191 4956203,Warm,Customer - Direct,Yes,500000,"[country:null, city:null, countryCode:null, street:Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:UK, longitude:null]",,,UK,"Kings Park, 17th Avenue, Team Valley Trading Estate, Gateshead, Tyne and Wear NE26 3HS United Kingdom, 86642",86642,Pending,11/04/2022T02:42:50.000Z,High,false,24000,Energy,34,0015h000016qeZ6AAI,No
0015h000013m9LXAAY,Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs,(650) 867-9895,GenePoint,CC978213,(650) 867-3450,Cold,Customer - Channel,Yes,30000000,"[country:United States, city:Mountain View, countryCode:null, street:345 Shoreline Park
Mountain View, CA 94043
USA, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:CA, longitude:null]",Mountain View,United States,CA,"345 Shoreline Park Mountain View, CA 94043",94043,Pending,11/04/2022T02:42:50.000Z,Low,false,265,Biotechnology,1,0015h000016qef2AAA,Yes
0015h000016qooTAAQ,,,Capstone entertainment,ET723772980,6422144826,Warm,Channel Partner / Reseller,Yes,450000000,"[country:UK, city:London, countryCode:null, street:78, Brighton street, London,UK, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:London, longitude:null]",London,UK,London,"Brighton street, London,UK, 10003",10003,Pending,11/20/2022T06:39:46.000Z,Low,false,900,Entertainment,5,,Yes
0015h000016qfKQAAY,,,Finacle,FI67398,,Warm,Customer - Channel,Yes,180000,"[country:UK, city:Manchester, countryCode:null, street:12, Parker street , Manchester ,UK, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:null, longitude:null]",Manchester,UK,Manchester,"A, Parker street , Manchester ,UK, 10045",10045,Pending,11/20/2022T03:39:41.000Z,High,false,4000,Finance,4,0015h000016qfhwAAA,Maybe
0015h000016qnpRAAQ,,,Pletho,CF739025,18583144826,Warm,Other,Yes,200000000,"[country:USA, city:New York, countryCode:null, street:NewYork, New York, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:NY, longitude:null]",New York,USA,NY,"NewYork, New York",,Pending,11/20/2022T06:22:41.000Z,Low,false,200,Banking,1,,Yes
0015h000016qfi0AAA,A tech giant situated in Mountain View California,,"Alphabet, Inc",8909345,,Hot,Customer - Direct,Yes,100009076,"[country:US, city:Mountain View, countryCode:null, street:Mountain View, CA 94043, latitude:null, postalCode:94043, geocodeAccuracy:null, stateCode:null, state:California, longitude:null]",Mountain View,US,California,"Mountain View, CA, 94043",94043,Pending,11/20/2022T03:48:17.000Z,High,false,10000,Technology,670,,Yes
0015h000016sA89AAE,"Growers of watercress, arugula and other leafy greens.",,B&K,CF3654790,10582197826,Hot,Technology Partner,Yes,3100000,"[country:US, city:Fellsmere, countryCode:null, street:Fellsmere, FL, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:FL, longitude:null]",Fellsmere,US,FL,"Fellsmere, FL, 87956",87956,Pending,11/20/2022T21:08:21.000Z,Medium,false,200,Agriculture,4,,Maybe
0015h000016sA2kAAE,"Public research university with main campus in orange county, Florida",,University of Central Florida,ED6738302,13452144826,Warm,Prospect,Yes,55000000,"[country:USA, city:Orlando, countryCode:null, street:Orlando, FL, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:FL, longitude:null]",Orlando,USA,FL,"Orlando, FL, 85721",85721,Pending,11/20/2022T20:55:23.000Z,Medium,false,8200,Education,1,,Maybe
0015h000016qooSAAQ,Biotech company in NJ focused on mental health solutions.,,Bluespring,BI1800367232,8582145026,Hot,Prospect,Yes,17000000,"[country:US, city:Essex County, countryCode:null, street:Essex County, NJ, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:NJ, longitude:null]",Essex County,US,NJ,"Essex County, NJ, 89932",89932,Pending,11/20/2022T06:37:06.000Z,Medium,false,140,Biotechnology,3,,Maybe
0015h000016qnpSAAQ,,,WayUp,ED18208546,18582894826,Warm,Prospect,Yes,11000000,"[country:US, city:San Diego, countryCode:null, street:San Diego, CA, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:California, longitude:null]",San Diego,US,California,"San Diego, CA, 92092",92092,Pending,11/20/2022T06:25:19.000Z,Medium,false,1200,Education,4,,Yes
0015h000017ObV7AAK,,,Scalables,,2742144826,Warm,Installation Partner,,128000,"[country:USa, city:Portland,, countryCode:null, street:620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States, latitude:null, postalCode:97204, geocodeAccuracy:null, stateCode:null, state:Oregon, longitude:null]","Portland,",USA,OR,"620 SW 5th Avenue Suite 400 Portland, Oregon 97204",97204,Pending,11/27/2022T07:07:53.000Z,High,false,11500,Technology,988,,Yes
0015h000013m9LZAAY,,,Sample Account for Entitlements,,,Cold,Customer - Direct,Yes,400000,,,,,,,Pending,11/04/2022T02:42:50.000Z,High,false,3000,Technology,600,,Yes
0015h000016s9zRAAQ,,,Publix,CH772025,8583904824,Cold,Other,Yes,67000000,"[country:USA, city:Lakeland, countryCode:null, street:Lakeland, Florida, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:FL, longitude:null]",Lakeland,USA,FL,"Lakeland, Florida",,Pending,11/20/2022T20:49:25.000Z,Low,false,1930,Consulting,4,,Maybe
0015h000017ObUsAAK,,,Cadinal Inc.,,(847) 262-5000,Hot,Customer - Direct,Yes,,"[country:USA, city:null, countryCode:null, street:null, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:IL, longitude:null]",,USA,IL,,,Pending,11/27/2022T07:07:20.000Z,High,false,,Technology,67,,Yes
0015h000017ObUtAAK,,,Blues Entertainment Corp.,,(033) 452-1299,Cold,Customer - Direct,Yes,8785,"[country:Japan, city:null, countryCode:null, street:null, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:null, longitude:null]",,Japan,,"Kamaguchi, 8908577",8908577,Pending,11/27/2022T07:08:34.000Z,High,false,,Consulting,1023,,Yes
0015h000017ObVCAA0,,,Western Telecommunications Corp.,,(408) 326-9000,Warm,Installation Partner,Yes,,"[country:USA, city:null, countryCode:null, street:null, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:CA, longitude:null]",,USA,CA,,,Pending,11/27/2022T07:08:22.000Z,High,false,,Technology,78,,Maybe
0015h000016qnf4AAA,,,Init,CD27916450,18582178926,Warm,Customer - Channel,Yes,800000,"[country:US, city:Santa Clara, countryCode:null, street:Santa Clara,CA, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:California, longitude:null]",Santa Clara,US,California,"Santa Clara, CA, 95050  ",95050,Pending,11/20/2022T06:20:14.000Z,High,false,20,Biotechnology,4,,Yes
0015h000016sA5KAAU,Retail sale of new automobiles or used automobiles. Also sells pickups and vans.,,JM ford,,,Hot,Customer - Direct,Yes,5040000,"[country:US, city:Pembroke pines, countryCode:null, street:Pembroke pines , FL, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:FL, longitude:null]",Pembroke pines,US,FL,"Pembroke pines , FL, 85142",85142,Pending,11/20/2022T20:58:33.000Z,Medium,false,120,Transportation,1,,Yes
0015h000016qfkkAAA,"A subsidary of Alphabet, Inc",,"Google, Inc",,,Hot,Customer - Direct,Yes,1000000,"[country:US, city:Mountain View, countryCode:null, street:Mountain View, latitude:null, postalCode:94043, geocodeAccuracy:null, stateCode:null, state:CA, longitude:null]",Mountain View,US,CA,"Mountain View, 94043",94043,Pending,11/20/2022T03:48:44.000Z,High,false,60000,Technology,500,0015h000016qfi0AAA,Maybe
0015h000017ObUnAAK,,,DS Smith,,858) 212-9187,Hot,Customer - Direct,Yes,,"[country:UK, city:London, countryCode:null, street:370, Endina street,London ,UK
London, London
UK, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:null, longitude:null]",London,UK,London,"Endina street,London, 10002",10002,Pending,11/27/2022T07:07:07.000Z,High,false,12000,Apparel,90,,Maybe
0015h000016qfGSAAY,,,"GB Financials, EMEA",,,Hot,Customer - Channel,Yes,20000,"[country:UK, city:London, countryCode:null, street:34 Chapel Hill, latitude:null, postalCode:30030, geocodeAccuracy:null, stateCode:null, state:UK, longitude:null]",London,UK,London,"34 Chapel Hill, 10005",10005,Pending,11/20/2022T03:32:28.000Z,High,false,50,Finance,67,0015h000016qeUgAAI,No
0015h000016qnpTAAQ,,,Assoc,SY1802670,8582144106,Cold,Installation Partner,Yes,15000000,"[country:USA, city:Solana beach, countryCode:null, street:Solana beach , CA, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:CA, longitude:null]",Solana beach,USA,CA,"Solana beach , CA, 10234",10234,Pending,11/20/2022T06:28:31.000Z,Medium,false,800,Electronics,10,,No
0015h000017ObSwAAK,,,TNR Corp.,,(860) 273-0123,Warm,Installation Partner,,8905643,"[country:USA, city:null, countryCode:null, street:null, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:CT, longitude:null]",,USA,CT,,,Pending,11/27/2022T07:00:11.000Z,Low,false,899,Technology,90,,No
0015h000016qf5AAAQ,,,Crowe,CS587902,18582144880,Cold,Technology Partner,Yes,129098,"[country:US, city:La Jolla, countryCode:null, street:Miramar Street La Jolla CA, latitude:null, postalCode:92092, geocodeAccuracy:null, stateCode:null, state:California, longitude:null]",La Jolla,US,California,"Miramar Street La Jolla CA, 92092",92092,Pending,11/20/2022T03:16:14.000Z,Medium,false,12000,Consulting,34,,No
0015h000016qfFyAAI,,,Tantheta,CS90754,18582144198,Hot,Technology Partner,No,1208,"[country:US, city:La Jolla, countryCode:null, street:Miramar Street La Jolla CA, latitude:null, postalCode:92092, geocodeAccuracy:null, stateCode:null, state:California, longitude:null]",La Jolla,US,California,"Miramar Street La Jolla CA, 92092",92092,Pending,11/20/2022T03:30:54.000Z,Low,false,180,Engineering,3,0015h000016qf5AAAQ,Maybe
0015h000016qfTNAAY,,,Kurt Designers,DE7609275,,Warm,Channel Partner / Reseller,Yes,680000,"[country:US, city:Dallas, countryCode:null, street:290,Market drive,  Dallas, Texas, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:TX, longitude:null]",Dallas,US,TX,"Market drive,  Dallas, Texas, 89003",89003,Pending,11/20/2022T03:45:36.000Z,Medium,false,600,Retail,23,,No
0015h000016qfMbAAI,,,Derk Construction,CO129085,18582147802,Hot,Installation Partner,Yes,180000,"[country:US, city:SF, countryCode:null, street:4720, 4067 Antony's drive , SF,  CA, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:California, longitude:null]",SF,US,California,"Antony's drive,SF,CA,89006",89006,Pending,11/20/2022T03:42:21.000Z,Low,false,130,Construction,10,,No
0015h000016qpVBAAY,,,JSD systems,,9562107826,Warm,Customer - Channel,Yes,4700000,"[country:US, city:Seattle, countryCode:null, street:5036, Pike street , Seattle ,Washington, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:Washington, longitude:null]",Seattle,US,Washington,"Pike street , Seattle ,Washington,98104",98104,Pending,11/20/2022T06:49:37.000Z,Medium,false,1100,Engineering,4,,Maybe
0015h000016qfpVAAQ,,,University of Utah,UN901760,,Cold,Prospect,Yes,80000000,"[country:US, city:null, countryCode:null, street:278, University street, Utah, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:Utah, longitude:null]",,US,Utah,"University street, Utah, 84106",84106,Pending,11/20/2022T03:52:09.000Z,Low,false,12000,Education,52,,No
0015h000016qpMnAAI,,,NHS Trust,HE6290267,,Hot,Other,Yes,83000000,"[country:United Kingdom, city:Manchester, countryCode:null, street:1390, Central street, Manchester, UK, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:null, longitude:null]",Manchester,United Kingdom,Manchester,"Central street, Manchester, UK, 10087",10087,Pending,11/20/2022T06:46:17.000Z,High,false,12000,Healthcare,3,,Yes
0015h000016qoAKAAY,,,SGA finance,FI630272506,,Cold,Customer - Direct,Yes,80000000,"[country:US, city:The Bronx, countryCode:null, street:The Bronx, NY, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:NY, longitude:null]",The Bronx,US,NY,"The Bronx, NY",,Pending,11/20/2022T06:33:35.000Z,High,false,16000,Finance,100,,No
0015h000016qef2AAA,,,Pine labs,CD67930,18582144829,Hot,Prospect,Yes,30000000,"[country:USA, city:San Diego, countryCode:null, street:null, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:CA, longitude:null]",San Diego,USA,CA,,,Pending,11/20/2022T03:09:16.000Z,High,false,3200,Chemicals,123,,Yes
0015h000016qqDQAAY,,,Go2,CS73020267,18568144826,Cold,Installation Partner,Yes,89000000,"[country:UK, city:Bristol, countryCode:null, street:4709, Bristol drive, Bristol , UK, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:null, longitude:null]",Bristol,UK,Bristol,"Bristol drive, Bristol, UK, 10005",10005,Pending,11/20/2022T06:56:57.000Z,Low,false,6000,Energy,2,,No
0015h000013m9LPAAY,,(014) 427-4428,Pyramid Construction Inc.,CC213425,(014) 427-4427,Hot,Customer - Channel,Yes,950000,"[country:France, city:Paris, countryCode:null, street:2 Place Jussieu, latitude:null, postalCode:75251, geocodeAccuracy:null, stateCode:null, state:Paris, longitude:null]",Paris,France,Paris,"2 Place Jussieu, 75251",75251,Pending,11/04/2022T02:42:50.000Z,High,false,2680,Construction,17,,Maybe
0015h000017ObK5AAK,,(850) 644-4300,Farmers Coop. of Florida,,(850) 644-4200,Hot,Customer - Channel,Yes,901000000,"[country:USA, city:Tallahassee, countryCode:null, street:321 Westcott Building, latitude:null, postalCode:32306, geocodeAccuracy:null, stateCode:null, state:FL, longitude:null]",Tallahassee,USA,FL,"Westcott Building, 32306",32306,Pending,11/27/2022T06:56:49.000Z,High,false,87556,Agriculture,12,,Maybe
0015h000016DwH0AAK,iPhone maker with highest revenue ,,Apple Graphics,1234556,,Hot,Customer - Direct,Yes,100000090,"[country:UK, city:London, countryCode:null, street:null, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:California, longitude:null]",London,UK,London,,,Pending,11/16/2022T04:12:45.000Z,High,false,1000,Communications,100,,Yes
0015h000016qfhwAAA,,,JSR finance,FI1097547,,Warm,Customer - Direct,Yes,300000000,"[country:US, city:LA, countryCode:null, street:1985, Bayview drive, LA, latitude:null, postalCode:92092, geocodeAccuracy:null, stateCode:null, state:CA, longitude:null]",LA,US,CA,"1985, Bayview drive, LA, 98104",98104,Pending,11/20/2022T03:50:12.000Z,High,false,40,Finance,23,,No
0015h000016s8ZGAAY,,,Binomial Engineers,EN1927309,16532144826,Warm,Customer - Direct,Yes,24500000,"[country:IN, city:Pune, countryCode:null, street:379, Hinjewadi , Pune , IN, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:MH, longitude:null]",Pune,IN,MH,"Hinjewadi , Pune , IN, 78903",78903,Pending,11/20/2022T18:40:29.000Z,Low,false,1500,Engineering,3,,No
0015h000016qo68AAA,,,Quotient,CS7390364,,Hot,Technology Partner,Yes,170000000,"[country:USA, city:Rancho, countryCode:null, street:Rancho , Sanata Fe, California, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:CA, longitude:null]",Rancho,USA,CA,"Rancho , Sanata Fe, California",,Pending,11/20/2022T06:31:07.000Z,High,false,6000,Energy,5,,Yes
0015h000017ObSxAAK,,,Kert Finances,,8526944826,Cold,Customer - Direct,Yes,279000000,"[country:US, city:La Jollan, countryCode:null, street:#340, 3603 Miramar Street La Jolla CA, latitude:null, postalCode:92049, geocodeAccuracy:null, stateCode:null, state:California, longitude:null]",La Jollan,US,California,"Miramar Street La Jolla CA, 92092",92092,Pending,11/27/2022T07:08:11.000Z,High,false,38000,Finance,189,,No
0015h000017ObSyAAK,,,Pinacle group,,8272144826,Cold,Customer - Direct,Yes,5400000,"[country:US, city:Hunitigton beach, countryCode:null, street:4720, Hunitigton beach ,CA, latitude:null, postalCode:92095, geocodeAccuracy:null, stateCode:null, state:California, longitude:null]",Hunitigton beach,US,California,"Hunitigton beach ,CA, 92095",92095,Pending,11/27/2022T07:08:43.000Z,High,false,28,Technology,10,,Yes
0015h000017ObShAAK,,,Jackson Controls,,886-2-25474189,Cold,Customer - Channel,Yes,789034,"[country:Taiwan, city:null, countryCode:null, street:null, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:null, longitude:null]",,Taiwan,,,,Pending,11/27/2022T06:59:55.000Z,High,false,5667,Construction,457,,Maybe
0015h000017ObScAAK,,,Metropolitan Health Services,,(410) 381-2334,Cold,Customer - Channel,Yes,678994,"[country:USA, city:null, countryCode:null, street:null, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:MD, longitude:null]",,USA,MD,,,Pending,11/27/2022T06:59:41.000Z,Low,false,890,Health,87,,Yes
0015h000013m9LSAAY,World's third largest oil and gas company.,(212) 842-5501,United Oil & Gas Corp.,CD355118,(212) 842-5500,Hot,Customer - Direct,Yes,560000000,"[country:USA, city:New York, countryCode:null, street:1301 Avenue of the Americas 
New York, NY 10019
USA, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:NY, longitude:null]",New York,USA,NY,"1301 Avenue of the Americas New York, NY 10019",10019,Pending,11/04/2022T02:42:50.000Z,Low,false,14500,Energy,95,0015h000016qeZ6AAI,Yes
0015h000016qeZ6AAI,,,"United Oils, Inc",,,Cold,Customer - Direct,Yes,100000245,"[country:US, city:La Jolla, CA, countryCode:null, street:3986 Miramar Street, latitude:null, postalCode:92092, geocodeAccuracy:null, stateCode:null, state:California, longitude:null]","La Jolla, CA",US,California,"3986 Miramar Street, 92092",92092,Pending,11/20/2022T02:59:54.000Z,High,false,20000,Engineering,124,,No
0015h000016qfhvAAA,,,JD systems,CS129088,,Hot,Customer - Channel,Yes,190000,"[country:US, city:Phoenix, countryCode:null, street:1908, finance district, Phoenix , AZ, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:AZ, longitude:null]",Phoenix,US,AZ,"finance district, Phoenix AZ 85142",85142,Pending,11/20/2022T03:48:14.000Z,Medium,false,3900,Technology,6,,No
0015h000016qeUgAAI,,,GB Financials,,,Hot,Customer - Direct,Yes,300000,"[country:UK, city:London, countryCode:null, street:34 Chapel Hill, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:UK, longitude:null]",London,UK,UK,"Chapel Hill, 10045",10045,Pending,11/20/2022T02:53:21.000Z,High,false,10000,Finance,70,,No
